@@693174	##	fo
txt	txt	nnu
Twenty-one	twenty-one	mc
years	year	nnt2
ago	ago	ra
a	a	at1
young	young	jj
Massachusetts	massachusetts	np1
lawyer	lawyer	nn1
was	be	vbdz
married	married	jj_vvn%
to	to	ii
a	a	at1
charming	charming	jj
young	young	jj
school	school	nn1
teacher	teacher	nn1
.	.	y
Monday	monday	npd1
the	the	at
couple	couple	nn1
celebrated	celebrate	vvd_vvn
their	their	appge
anniversary	anniversary	nn1
in	in	ii
a	a	at1
characteristically	characteristically	rr
quiet	quiet	jj
way	way	nn1
at	at	ii
1600	1600	mc
Pennsylvania	pennsylvania	np1
Avenue	avenue	nnl1
,	,	y
Washington	washington	np1
.	.	y
This	this	dd1
happens	happen	vvz
to	to	to
be	be	vbi
the	the	at
street	street	nn1
number	number	nn1
of	of	io
the	the	at
White	white	np1
House	house	nn1
.	.	y
Anybody	anybody	pn1
about	about	ii
Washington	washington	np1
from	from	ii
the	the	at
newsboy	newsboy	nn1
whom	whom	pnqo
she	she	pphs1
has	have	vhz
passed	pass	vvn
in	in	ii
occasional	occasional	jj
walks	walk	nn2
to	to	ii
the	the	at
most	most	rgt
cantankerous	cantankerous	jj
anti-administration	anti-administration	jj_nn1
senator	senator	nn1
will	will	vm
say	say	vvi
that	that	cst
Mrs.	mrs.-	nnb
Coolidge	coolidge	np1
is	be	vbz
the	the	at
most	most	rgt
gracious	gracious	jj
and	and	cc
deservedly	deservedly	rr
the	the	at
most	most	rgt
popular	popular	jj
mistress	mistress	nn1
of	of	io
the	the	at
White	white	np1
House	house	nn1
Washington	washington	np1
ever	ever	rr
has	have	vhz
k	k	zz1
nom	nom	nn1_vv0
.	.	y
Those	those	dd2
who	who	pnqs
have	have	vh0
been	be	vbn
privileged	privileged	jj_vvn%
to	to	to
look	look	vvi
into	into	ii
the	the	at
Coolidge	coolidge	nn1_np1
home	home	nn1
life	life	nn1
will	will	vm
tell	tell	vvi
you	you	ppy
more	more	rrr
.	.	y
They	they	pphs2
will	will	vm
say	say	vvi
that	that	cst
the	the	at
lady	lady	nn1
who	who	pnqs
so	so	rr_rg
persistently	persistently	rr
and	and	cc
tactfully	tactfully	rr
keeps	keep	vvz
herself	herself	ppx1
in	in	ii
the	the	at
background	background	nn1
is	be	vbz
the	the	at
inspiration	inspiration	nn1
of	of	io
her	her	appge
husband	husband	nn1
.	.	y
Few	few	da2
of	of	io
those	those	dd2
who	who	pnqs
praise	praise	vv0
her	her	appge
most	most	rgt
sincerely	sincerely	rr
realize	realize	vv0
how	how	rgq@_rrq
much	much	da1_rr
the	the	at
nation	nation	nn1
really	really	rr
owes	owe	vvz
her	her	ppho1
.	.	y
