@@712530	##	fo
txt	txt	nnu
Altho	altho	nn1_np1
little	little	rr_jj
Betty	betty	np1
Lou	lou	np1
Marbury	marbury	np1
may	may	vm
lose	lose	vvi
her	her	appge
hand	hand	nn1
after	after	ii
Christmas	christmas	nnt1
because	because	ii21
of	of	ii22
a	a	at1
malignant	malignant	jj_nn1
lesion	lesion	nn1
,	,	y
she	she	pphs1
was	be	vbdz
more	more	rgr_rrr
worried	worry	jj_vvn@
about	about	ii
her	her	appge
brother	brother	nn1
Earl	earl	nn1
today	today	rt
.	.	y
The	the	at
9	9	mc
year	year	nnt1
old	old	jj
boy	boy	nn1
was	be	vbdz
ordered	order	vvn
to	to	ii
bed	bed	nn1
Thursday	thursday	npd1
with	with	iw
a	a	at1
"	"	"
fairly	fairly	rr
severe	severe	jj
"	"	"
case	case	nn1
of	of	io
scarlet	scarlet	jj
fever	fever	nn1
.	.	y
Betty	betty	np1
must	must	vm
stick	stick	vvi
close	close	rr_jj
to	to	ii
the	the	at
house	house	nn1
.	.	y
But	but	ccb
the	the	at
family	family	nn1
physician	physician	nn1
said	say	vvd
Earl	earl	nn1_np1@
was	be	vbdz
definitely	definitely	rr
better	better	jjr
,	,	y
and	and	cc
he	he	pphs1
added	add	vvd
that	that	cst
if	if	cs
Betty	betty	np1
does	do	vdz
n't	n't	xx
come	come	vvi
down	down	rp
with	with	iw
scarlet	scarlet	jj
fever	fever	nn1
Saturday	saturday	npd1
or	or	cc
Sunday	sunday	npd1_np1@
,	,	y
in	in	ii
all	all	db
probability	probability	nn1
she	she	pphs1
wo	will	vm
n't	n't	xx
get	get	vvi
it	it	pph1
at	at	rr21
all	all	rr22
.	.	y
Meantime	meantime	nnt1_rr@
,	,	y
10	10	mc
year	year	nnt1
old	old	jj
Betty	betty	np1
kept	keep	vvd
busy	busy	jj
.	.	y
She	she	pphs1
's	be	vbz
reading	read	vvg
Earl	earl	nn1
the	the	at
5,500	5,500	mc
letters	letter	nn2
received	receive	vvn_vvd
from	from	ii
all	all	rr
over	over	ii
the	the	at
nation	nation	nn1
from	from	ii
persons	person	nn2
answering	answer	vvg
her	her	appge
plea	plea	nn1
for	for	if
prayer	prayer	nn1
to	to	to
save	save	vvi
her	her	appge
hand	hand	nn1
