@@713275	##	fo
txt	txt	nnu
Czechoslovak	czechoslovak	nn1	
's	's	ge
Communist	communist	jj
Government	government	nn1
has	have	vhz
decreed	decree	vvn
that	that	cst
persons	person	nn2
may	may	vm
not	not	xx
bequeath	bequeath	vvi
their	their	appge
money	money	nn1
to	to	ii
individuals	individual	nn2
,	,	y
corporations	corporation	nn2
or	or	cc
churches	church	nn2
"	"	"
if	if	cs
this	this	dd1
would	would	vm
strengthen	strengthen	vvi
the	the	at
capitalistic	capitalistic	jj
or	or	cc
hostile	hostile	jj
class	class	nn1
.	.	y
"	"	"
Prime	prime	jj
Minister	minister	nn1
Clement	clement	np1
R.	r.-he	np1
Attlee	attlee	np1
has	have	vhz
expressed	express	vvn
his	his	appge
thanks	thanks	nn2
for	for	if
an	an	at1
official	official	jj
American	american	jj
message	message	nn1
of	of	io
sympathy	sympathy	nn1
after	after	ii_cs
the	the	at
accidental	accidental	jj
bombing	bomb	nn1
of	of	io
British	british	jj
troops	troop	nn2
in	in	ii
Korea	korea	np1
by	by	ii
American	american	jj
planes	plane	nn2
.	.	y
A	a	at1_zz1
Hungarian	hungarian	jj
Communist	communist	jj
court	court	nn1
has	have	vhz
sentenced	sentence	vvn
two	two	mc
officials	official	nn2
of	of	io
a	a	at1
state-owned	state-owned	jj
meat	meat	nn1
concern	concern	nn1
to	to	ii
capital	capital	nn1_jj@
punishment	punishment	nn1
on	on	ii
charges	charge	nn2
of	of	io
disposing	dispose	vvg
of	of	io
250	250	mc
tons	ton	nnu2
of	of	io
meat	meat	nn1
on	on	ii
the	the	at
black	black	jj
market	market	nn1
.	.	y
Washington	washington	np1
:	:	y
U.S.	u.s.-	np1
Merchant	merchant	nn1
Ship	ship	nn1
Faces	face	vvz_nn2
Seizure	seizure	nn1
An	an	at1
American	american	jj
merchant	merchant	nn1
ship	ship	nn1
accused	accuse	vvn_vvd
of	of	io
running	run	vvg
the	the	at
Nationalist	nationalist	nn1_jj@
blockade	blockade	nn1_vv0
to	to	to
deliver	deliver	vvi
war	war	nn1
materials	material	nn2
to	to	ii
the	the	at
Chinese	chinese	jj
Communists	communist	nn2
will	will	vm
be	be	vbi
seized	seize	vvn
on	on	ii
the	the	at
West	west	nd1
Coast	coast	nn1
by	by	ii
the	the	at
coast	coast	nn1
guard	guard	nn1_vv0
,	,	y
senators	senator	nn2
investigating	investigate	vvg
the	the	at
case	case	nn1
said	say	vvd
.	.	y
