@@716869	##	fo
txt	txt	nnu
Mayor	mayor	nnb
Paul	paul	np1
Egan	egan	np1
of	of	io
Aurora	aurora	np1
said	say	vvd
yesterday	yesterday	rt
that	that	cst
he	he	pphs1
was	be	vbdz
"	"	"
going	go	vvgk
to	to	to
demand	demand	vvi
that	that	dd1
Gov	gov	nn1
.	.	y
Stratton	stratton	np1
send	send	vv0
the	the	at
militia	militia	nn
into	into	ii
Aurora	aurora	np1
"	"	"
as	as	ii_csa
an	an	at1
aftermath	aftermath	nn1
of	of	io
his	his	appge
fist	fist	nn1
fight	fight	nn1_vv0
in	in	ii
his	his	appge
office	office	nn1
Wednesday	wednesday	npd1
with	with	iw
Justice	justice	nn1
of	of	io
the	the	at
Peace	peace	nn1
John	john	np1
Chivari	chivari	np1_nn1
.	.	y
Egan	egan	np1
said	say	vvd
he	he	pphs1
has	have	vhz
sent	send	vvn
the	the	at
governor	governor	nn1
a	a	at1
telegram	telegram	nn1
and	and	cc
that	that	cst
he	he	pphs1
will	will	vm
go	go	vvi
to	to	ii
Springfield	springfield	np1
if	if	cs
the	the	at
goVernor	governor	nn1	
does	do	vdz
n't	n't	xx
respond	respond	vvi
.	.	y
Egan	egan	np1
said	say	vvd
he	he	pphs1
took	take	vvd
the	the	at
action	action	nn1
because	because	cs
he	he	pphs1
claimed	claim	vvd
that	that	cst
after	after	cs_ii
the	the	at
fight	fight	nn1
,	,	y
"	"	"
somebody	somebody	pn1
from	from	ii
the	the	at
police	police	nn2
department	department	nn1
sneaked	sneak	vvd
into	into	ii
my	my	appge
office	office	nn1
and	and	cc
stole	steal	vvd
all	all	db
the	the	at
police	police	nn2
and	and	cc
fire	fire	nn1_vv0@
board	board	nn1
records	record	nn2
.	.	y
"	"	"
Egan	egan	np1
said	say	vvd
the	the	at
records	record	nn2
contained	contain	vvd_vvn
facts	fact	nn2
that	that	cst
were	be	vbdr
damaging	damage	vvg
to	to	ii
several	several	da2
high	high	jj
ranking	ranking	nn1
police	police	nn2
officials	official	nn2
.	.	y
Police	police	nn2
broke	break	vvd
up	up	rp
the	the	at
fight	fight	nn1
after	after	ii_cs
Chivari	chivari	jj_np1_nn1	
had	liad	nn1
knocked	knock	vvd_vvn
the	the	at
mayor	mayor	nn1
across	across	ii
a	a	at1
desk	desk	nn1
and	and	cc
the	the	at
mayor	mayor	nn1
whacked	whack	jj_vvd
Chivari	chivari	nn1_np1_jj	
with	with	iw
a	a	at1
heavy	heavy	jj
pair	pair	nn
of	of	io
scissors	scissors	nn2
,	,	y
cutting	cut	vvg_jj@
gash	gash	nn1_vv0
in	in	ii
his	his	appge
forehead	forehead	nn1
.	.	y
