@@249501	##	fo
"	"	"
Is	be	vbz
it	it	pph1
subversive	subversive	jj
to	to	to
attend	attend	vvi
international	international	jj
conventions	convention	nn2
and	and	cc
exchange	exchange	nn1_vv0@
views	view	nn2_vvz@
with	with	iw
scholars	scholar	nn2
from	from	ii
Communist	communist	jj
countries	country	nn2
?	?	y
"	"	"
It	it	pph1
could	could	vm
be	be	vbi
.	.	y
"	"	"
Could	could	vm
one	one	pn1
support	support	vvi
participation	participation	nn1
by	by	ii
this	this	dd1
country	country	nn1
in	in	ii
world	world	nn1
government	government	nn1
?	?	y
"	"	"
Maybe	maybe	rr
not	not	xx
.	.	y
Such	such	da
interpretations	interpretation	nn2
would	would	vm
not	not	xx
be	be	vbi
farfetched	farfetched	jj
,	,	y
warned	warn	vvd
Justice	justice	np1@_nn1
Byron	byron	np1
White	white	np1
,	,	y
if	if	cs
the	the	at
Supreme	supreme	jj
Court	court	nn1
let	let	vv0_vvd@
stand	stand	nn1_vv0
two	two	mc
state	state	nn1
of	of	io
Washington	washington	np1
loyalty	loyalty	nn1
oaths	oath	nn2
which	which	ddq
required	require	vvd@
a	a	at1
state	state	nn1
employee	employee	nn1
to	to	to
swear	swear	vvi
that	that	cst
he	he	pphs1
was	be	vbdz
not	not	xx
a	a	at1
"	"	"
subversive	subversive	jj
person	person	nn1
"	"	"
and	and	cc
would	would	vm
"	"	"
promote	promote	vv0
undivided	undivided	jj
allegiance	allegiance	nn1
to	to	ii
the	the	at
Government	government	nn1
.	.	y
"	"	"
A	a	at1
majority	majority	nn1
of	of	io
the	the	at
justices	justice	nn2
agreed	agree	vvn_vvd
with	with	iw
White	white	np1_jj
,	,	y
and	and	cc
the	the	at
Supreme	supreme	jj
Court	court	nn1
last	last	md
week	week	nnt1
declared	declare	vvd_vvn
the	the	at
vague	vague	jj
Washington	washington	np1
oaths	oath	nn2
unconstitutional	unconstitutional	jj
.	.	y
Noting	note	vvg
that	that	cst
the	the	at
court	court	nn1
had	have	vhd
upheld	uphold	vvn
a	a	at1
similar	similar	jj
Maryland	maryland	np1
statute	statute	nn1
,	,	y
dissenting	dissent	vvg
Justice	justice	np1@_nn1
Tom	tom	np1
Clark	clark	np1
found	find	vvd
his	his	appge
colleagues	colleague	nn2
'	'	ge
change	change	nn1
of	of	io
heart	heart	nn1
"	"	"
unfortunate	unfortunate	jj
.	.	y
"	"	"
Justice	justice	np1@
White	white	np1
's	's	ge
worries	worry	nn2
,	,	y
he	he	pphs1
complained	complain	vvd
,	,	y
"	"	"
extract	extract	vv0
more	more	dar
sunbeams	sunbeam	nn2
from	from	ii
cucumbers	cucumber	nn2
than	than	csn
did	do	vdd
Gulliver	gulliver	np1
's	's	ge
mad	mad	jj
scientists	scientist	nn2
.	.	y
"	"	"
