@@282992	##	fo
The	the	at
capital	capital	nn1
without	without	iw
the	the	at
President	president	nn1
suffers	suffer	vvz
from	from	ii
a	a	at1
slightly	slightly	rr
disquieting	disquieting	jj
sense	sense	nn1
of	of	io
vacuum	vacuum	nn1
.	.	y
Since	since	cs
a	a	at1
traveling	traveling	jj@_nn1@
President	president	nn1
takes	take	vvz
the	the	at
office	office	nn1
with	with	iw
him	him	ppho1
wherever	wherever	rrqv
he	he	pphs1
goes	go	vvz
,	,	y
much	much	da1
of	of	io
the	the	at
normal	normal	jj
business	business	nn1
was	be	vbdz
suspended	suspend	vvn
in	in	ii
the	the	at
Executive	executive	nn1_jj@
Mansion	mansion	nn1
.	.	y
Staff	staff	nn_vv0@
members	member	nn2
enjoyed	enjoy	vvd_vvn
a	a	at1
night	night	nnt1
out	out	rp
at	at	ii
the	the	at
theater	theater	nn1
or	or	cc
took	take	vvd
long	long	jj
lunches	lunch	nn2
.	.	y
Some	some	dd
even	even	rr
savored	savor	vvd_jj@_vvn@
lazy	lazy	jj
afternoons	afternoon	nnt2
playing	play	vvg
miniature	miniature	jj
golf	golf	nn1
on	on	ii
the	the	at
West	west	nd1
Wing	wing	nn1
carpets	carpet	nn2
,	,	y
using	use	vvg
overturned	overturn	jj@
glasses	glass	nn2
for	for	if
cups	cup	nn2
.	.	y
But	but	ccb
most	most	dat
were	be	vbdr
eager	eager	jj
enough	enough	rr
to	to	to
get	get	vvi
back	back	rp
to	to	ii_to@
work	work	nn1_vvi
and	and	cc
sure	sure	jj
that	that	cst
there	there	ex
would	would	vm
be	be	vbi
plenty	plenty	pn
of	of	io
it	it	pph1
.	.	y
As	as	ii_csa
a	a	at1
favorite	favorite	jj_nn1
one-liner	one-liner	nn1
had	have	vhd
it	it	pph1
:	:	y
"	"	"
The	the	at
trouble	trouble	nn1
with	with	iw
Chinese	chinese	jj
diplomacy	diplomacy	nn1
is	be	vbz
that	that	cst
an	an	at1
hour	hour	nnt1
later	later	rrr
you	you	ppy
are	be	vbr
hungry	hungry	jj
again	again	rt
.	.	y
"	"	"
