@@732094	##	fo
txt	txt	nnu
MEMBERS	member	nn2
OF	of	io
THE	the	at
Cook	cook	np1_nn1@
County	county	nn1
College	college	nn1
Teachers	teacher	nn2
Union	union	np1_nn1
began	begin	vvd
voting	vote	nn1
Tuesday	tuesday	npd1
on	on	ii
the	the	at
eight	eight	mc
campuses	campus	nn2
of	of	io
the	the	at
City	city	nn1
Colleges	college	nn2
of	of	io
Chicago	chicago	np1
on	on	ii
a	a	at1
proposal	proposal	nn1
to	to	to
go	go	vvi
on	on	ii_rp@
strike	strike	nn1
Thursday	thursday	npd1
over	over	ii
a	a	at1
contract	contract	nn1
dispute	dispute	nn1
with	with	iw
the	the	at
colleges	college	nn2
'	'	ge
board	board	nn1
.	.	y
The	the	at
union	union	nn1
broke	break	vvd
off	off	rp_ii
talks	talk	nn2
last	last	md
Wednesday	wednesday	npd1
.	.	y
On	on	ii
Sunday	sunday	npd1
members	member	nn2
voted	vote	vvd_vvn
to	to	to
reject	reject	vvi
the	the	at
board	board	nn1
's	's	ge
latest	late	jjt
contract	contract	nn1
offer	offer	nn1
.	.	y
A	a	at1_zz1
strike	strike	nn1
vote	vote	nn1_vv0
from	from	ii
the	the	at
membership	membership	nn1
could	could	vm
disrupt	disrupt	vvi
fall	fall	nn1
registration	registration	nn1
this	this	dd1
week	week	nnt1
and	and	cc
delay	delay	vvi
the	the	at
opening	opening	nn1
of	of	io
classes	class	nn2
Monday	monday	npd1
for	for	if
the	the	at
system	system	nn1
's	be	vbz
nearly	nearly	rr
100,000	100,000	mc
students	student	nn2
.	.	y
The	the	at
union	union	nn1
has	have	vhz
demanded	demand	vvn
10	10	mc
per	per	nnu21
cent	cent	nnu22
salary	salary	nn1
increases	increase	nn2_vvz
;	;	y
restoration	restoration	nn1
of	of	io
all	all	db
budget	budget	nn1_vv0@
cuts	cut	nn2_vvz
;	;	y
regular	regular	jj
contracts	contract	nn2
for	for	if
100	100	mc
teachers	teacher	nn2
hired	hire	vvn_vvd
under	under	ii_rg@
five-month	five-month	jj
self-terminating	self-terminating	jj_nn1	
contracts	contract	nn2
last	last	md
April	april	npm1
;	;	y
restoration	restoration	nn1
of	of	io
a	a	at1
discarded	discard	jj@
department	department	nn1
system	system	nn1
;	;	y
and	and	cc
job	job	nn1
security	security	nn1
and	and	cc
contracts	contract	nn2
for	for	if
all	all	db
teachers	teacher	nn2
working	work	vvg
in	in	ii
the	the	at
colleges	college	nn2
'	'	ge
Chicago	chicago	np1
Skill	skill	nn1
Center	center	nn1
.	.	y
Balloting	balloting	nn1_vvg
will	will	vm
continue	continue	vvi
Wednesday	wednesday	npd1
with	with	iw
an	an	at1
announcement	announcement	nn1
of	of	io
the	the	at
outcome	outcome	nn1
expected	expect	vvd_jj
Wednesday	wednesday	npd1
night	night	nnt1
.	.	y
