@@335547	##	fo
What	what	ddq
good	good	jj_nn1%
is	be	vbz
Fred	fred	np1
Flintstone	flintstone	np1
if	if	cs
he	he	pphs1
ca	can	vm
n't	n't	xx
yell	yell	vvi
"	"	"
Yabba	yabba	np1_nn1@	
dabba	dabba	nn1
doo	doo	fu
"	"	"
?	?	y
The	the	at
top	top	nn1_jj
five	five	mc
animation	animation	nn1
companies	company	nn2
faced	face	vvd_vvn
that	that	dd1_cst
and	and	cc
similar	similar	jj
questions	question	nn2
last	last	md
week	week	nnt1
,	,	y
when	when	cs_rrq
the	the	at
200	200	mc
actors	actor	nn2
who	who	pnqs
supply	supply	vv0
the	the	at
vocal	vocal	jj
antics	antic	nn2
of	of	io
the	the	at
Flintstones	flintstone	np2
,	,	y
the	the	at
Smurfs	smurf	nn2_np1
and	and	cc
many	many	da2
other	other	jj
favorite	favorite	jj_nn1
cartoon	cartoon	nn1
characters	character	nn2
went	go	vvd
on	on	ii_rp@
strike	strike	nn1
.	.	y
Carrying	carry	vvg
placards	placard	nn2
that	that	cst
read	read	vv0_vvd
NO	no	at
MICKEY	mickey	np1
MOUSE	mouse	np1
BARGAINING	bargaining	nn1_vvg	
,	,	y
the	the	at
usually	usually	rr
heard-but-not-seen	heard-but-not-seen	jj	
actors	actor	nn2
picketed	pickete	vvd_vvn@
such	such	da
entertainment	entertainment	nn1
giants	giant	nn2
as	as	csa
Disney	disney	np1
Productions	production	nn2
and	and	cc
Hanna-Barbera	hanna-barbera	np1
and	and	cc
vowed	vow	vvd_jj%
silence	silence	nn1
until	until	cs_ii@
their	their	appge
year-old	year-old	jj
contract	contract	nn1
dispute	dispute	nn1
with	with	iw
the	the	at
companies	company	nn2
is	be	vbz
settled	settle	vvn
.	.	y
<P>	<p>	null	
One	one	mc1
demand	demand	nn1
by	by	ii
the	the	at
actors	actor	nn2
,	,	y
who	who	pnqs
typically	typically	rr
perform	perform	vv0
three	three	mc
major	major	jj
parts	part	nn2
during	during	ii
a	a	at1
recording	recording	jj@_nn1
session	session	nnt1
,	,	y
is	be	vbz
a	a	at1
reduction	reduction	nn1
of	of	io
that	that	dd1
load	load	nn1
to	to	ii
one	one	mc1
principal	principal	jj_nn1
role	role	nn1
plus	plus	ii
two	two	mc
minor	minor	jj
parts	part	nn2
unless	unless	cs
they	they	pphs2
are	be	vbr
paid	pay	vvn
extra	extra	jj_rr@
on	on	ii31
top	top	ii32
of	of	ii33
the	the	at
standard	standard	jj_nn1
wage	wage	nn1
of	of	io
$45	$45	nnu
an	an	at1
hour	hour	nnt1
.	.	y
Says	say	vvz
Frank	frank	np1_jj@
Welker	welker	np1_nn1	
,	,	y
who	who	pnqs
supplies	supply	vvz
the	the	at
voice	voice	nn1
of	of	io
Baby	baby	nn1
Kermit	kermit	nn1_vv0
in	in	ii
Muppet	muppet	np1_nn1
Babies	baby	nn2
:	:	y
"	"	"
All	all	db
we	we	ppis2
're	be	vbr
asking	ask	vvg
for	for	if
is	be	vbz
more	more	dar_rrr
flies	fly	nn2_vvz
in	in	ii
our	our	appge
soup	soup	nn1
.	.	y
"	"	"
