@@342264	##	fo
Since	since	cs
women	woman	nn2
are	be	vbr
the	the	at
nation	nation	nn1
's	's	ge
top	top	jj_nn1
consumers	consumer	nn2
,	,	y
advertising	advertising	nn1
has	have	vhz
always	always	rr
made	make	vvn
them	them	ppho2
the	the	at
center	center	nn1
of	of	io
its	its	appge
world	world	nn1
.	.	y
Ads	ad	nn2
portrayed	portray	vvn_vvd@
proper	proper	jj
female	female	jj_nn1
aspirations	aspiration	nn2
:	:	y
to	to	to
be	be	vbi
a	a	at1
desirable	desirable	jj
companion	companion	nn1
,	,	y
a	a	at1
competent	competent	jj
cleaner	cleaner	nn1
,	,	y
a	a	at1
loving	love	jj
mother	mother	nn1
.	.	y
The	the	at
women	woman	nn2
in	in	ii
ads	ad	nn2
found	find	vvd_vvn
fulfillment	fulfillment	nn1
in	in	ii
the	the	at
supermarket	supermarket	nn1
aisles	aisle	nn2
 -- 	--	nn1_jj
and	and	cc
in	in	ii
Maidenform	maidenform	np1_nn1	
bras	bra	nn2
.	.	y
But	but	ccb
as	as	csa
millions	millions	m
began	begin	vvd
to	to	to
venture	venture	vvi
beyond	beyond	ii
the	the	at
home	home	nn1
in	in	ii
the	the	at
1970s	1970s	mc2
,	,	y
the	the	at
images	image	nn2
had	have	vhd
to	to	to
change	change	vvi
.	.	y
Madison	madison	np1
Avenue	avenue	nnl1
's	's	ge
women	woman	nn2
developed	develop	jj_vvn_vvd
minds	mind	nn2
of	of	io
their	their	appge
own	own	da
.	.	y
Consider	consider	vv0
the	the	at
female	female	jj_nn1
Honda	honda	np1
buyer	buyer	nn1
,	,	y
who	who	pnqs
thinks	think	vvz
like	like	ii
a	a	at1
man	man	nn1
.	.	y
Or	or	cc
Charlie	charlie	np1
,	,	y
reaching	reach	vvg
out	out	rp
to	to	to
touch	touch	vvi
someone	someone	pn1
.	.	y
Even	even	rr_jj%
romance	romance	nn1_vv0%
mirrors	mirror	nn2
complex	complex	jj
modern	modern	jj
reality	reality	nn1
:	:	y
the	the	at
cute	cute	jj
young	young	jj
thing	thing	nn1
in	in	ii
the	the	at
new	new	jj
Johnnie	johnnie	np1
Walker	walker	np1
ad	ad	nn1
seems	seem	vvz
to	to	to
be	be	vbi
a	a	at1
divorced	divorce	jj
mother	mother	nn1
.	.	y
