@@363197	##	fo
With	with	iw
the	the	at
richness	richness	nn1
of	of	io
brocade	brocade	nn1
and	and	cc
the	the	at
smoothness	smoothness	nn1
of	of	io
shot	shot	nn1
silk	silk	nn1
,	,	y
Schama	schama	np1
's	's	ge
prose	prose	nn1
unfurls	unfurl	vvz
the	the	at
life	life	nn1
of	of	io
Rembrandt	rembrandt	np1
in	in	ii
all	all	db
its	its	appge
pathos	pathos	nn1
.	.	y
From	from	ii
prodigy	prodigy	nn1
to	to	ii
pauper	pauper	nn1
,	,	y
the	the	at
troubled	trouble	jj
genius	genius	nn1
of	of	io
17th	17th	md
century	century	nnt1
Dutch	dutch	jj
painting	painting	nn1
is	be	vbz
intricately	intricately	rr
conceived	conceive	vvn_vvd
as	as	csa
he	he	pphs1
rises	rise	vvz
and	and	cc
falls	fall	vvz_nn2
in	in	ii
a	a	at1
world	world	nn1
of	of	io
war	war	nn1
,	,	y
plague	plague	nn1
and	and	cc
stolid	stolid	jj
bourgeois	bourgeois	jj_nn@
comfort	comfort	nn1
.	.	y
A	a	at1_zz1
galvanic	galvanic	jj
force	force	nn1
 -- 	--	zz
ambitious	ambitious	jj
,	,	y
hugely	hugely	rr
inventive	inventive	jj
,	,	y
avaricious	avaricious	jj
 -- 	--	nn1
he	he	pphs1
is	be	vbz
the	the	at
portraitist	portraitist	nn1
of	of	io
the	the	at
poshest	posh	jjt
plutocrats	plutocrat	nn2
,	,	y
nobly	nobley	rr
aglitter	aglitter	jjr_vv0	
,	,	y
and	and	cc
the	the	at
allegorist	allegorist	nn1	
of	of	io
human	human	jj_nn1
wreckage	wreckage	nn1
.	.	y
Schama	schama	np1@_nn1	
's	's	ge
book	book	nn1
is	be	vbz
a	a	at1
marvel	marvel	nn1
of	of	io
storytelling	storytelling	nn1
:	:	y
sometimes	sometimes	rt
heart	heart	nn1
pounding	pounding	nn1
,	,	y
always	always	rr
sympathetic	sympathetic	jj
and	and	cc
coolly	coolly	rr
reasoned	reason	vvd_jj_vvn@
.	.	y
Seamlessly	seamlessly	rr	
joining	join	vvg
social	social	jj
history	history	nn1
and	and	cc
art	art	nn1
,	,	y
what	what	ddq
a	a	at1
triumph	triumph	nn1
of	of	io
scholarship	scholarship	nn1
and	and	cc
imagination	imagination	nn1
!	!	!
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Steven	steven	np1
Henry	henry	np1
Madoff	madoff	np1	
