,year,',cent
0,1827,514,19th
1,1828,56,19th
2,1826,21,19th
3,1829,1,19th
4,1823,15,19th
5,1825,15,19th
6,1820,0,19th
7,1824,89,19th
8,1822,1160,19th
9,1821,49,19th
10,1891,39,19th
11,1894,28,19th
12,1899,60,19th
13,1892,427,19th
14,1895,25,19th
15,1896,609,19th
16,1893,253,19th
17,1890,45,19th
18,1897,165,19th
19,1898,86,19th
20,1870,236,19th
21,1873,407,19th
22,1877,105,19th
23,1879,188,19th
24,1872,1,19th
25,1875,331,19th
26,1874,97,19th
27,1871,406,19th
28,1878,0,19th
29,1876,1,19th
30,1843,43,19th
31,1848,62,19th
32,1847,46,19th
33,1846,933,19th
34,1841,8,19th
35,1845,196,19th
36,1842,35,19th
37,1840,6,19th
38,1844,0,19th
39,1849,1,19th
40,1856,2,19th
41,1852,610,19th
42,1855,665,19th
43,1851,8,19th
44,1857,2,19th
45,1853,180,19th
46,1850,3,19th
47,1859,21,19th
48,1854,300,19th
49,1858,205,19th
50,1862,8,19th
51,1863,8,19th
52,1861,320,19th
53,1864,72,19th
54,1866,50,19th
55,1860,70,19th
56,1867,1,19th
57,1865,48,19th
58,1869,7,19th
59,1868,102,19th
60,1836,6,19th
61,1839,27,19th
62,1830,9,19th
63,1838,143,19th
64,1835,171,19th
65,1832,15,19th
66,1834,362,19th
67,1833,92,19th
68,1831,5,19th
69,1837,0,19th
70,1817,52,19th
71,1810,9,19th
72,1815,39,19th
73,1812,36,19th
74,1819,2,19th
75,1814,5,19th
76,1811,34,19th
77,1813,99,19th
78,1818,78,19th
79,1889,147,19th
80,1887,25,19th
81,1888,273,19th
82,1884,970,19th
83,1880,10,19th
84,1883,9,19th
85,1881,3,19th
86,1882,5,19th
87,1885,11,19th
88,1886,585,19th
