,year,who,cent
0,1900,52,20th
1,1901,56,20th
2,1902,161,20th
3,1903,56,20th
4,1904,210,20th
5,1905,23,20th
6,1906,30,20th
7,1907,77,20th
8,1908,16,20th
9,1909,77,20th
10,1910,76,20th
11,1911,312,20th
12,1912,47,20th
13,1913,118,20th
14,1914,40,20th
15,1915,155,20th
16,1916,65,20th
17,1917,431,20th
18,1918,142,20th
19,1919,29,20th
20,1920,117,20th
21,1921,224,20th
22,1922,75,20th
23,1923,108,20th
24,1924,53,20th
25,1925,126,20th
26,1926,16,20th
27,1927,36,20th
28,1928,18,20th
29,1929,9,20th
30,1930,65,20th
31,1931,105,20th
32,1932,131,20th
33,1933,91,20th
34,1934,103,20th
35,1935,93,20th
36,1936,52,20th
37,1937,52,20th
38,1938,124,20th
39,1939,127,20th
40,1940,135,20th
41,1941,128,20th
42,1942,79,20th
43,1943,100,20th
44,1944,118,20th
45,1945,127,20th
46,1946,106,20th
47,1947,120,20th
48,1948,148,20th
49,1949,274,20th
50,1950,102,20th
51,1951,84,20th
52,1952,73,20th
53,1953,59,20th
54,1954,167,20th
55,1955,94,20th
56,1956,79,20th
57,1957,60,20th
58,1958,84,20th
59,1959,117,20th
60,1960,77,20th
61,1961,106,20th
62,1962,186,20th
63,1963,69,20th
64,1964,145,20th
65,1965,83,20th
66,1966,175,20th
67,1967,151,20th
68,1968,14,20th
69,1969,206,20th
70,1970,82,20th
71,1971,85,20th
72,1972,74,20th
73,1973,130,20th
74,1974,83,20th
75,1975,120,20th
76,1976,65,20th
77,1977,74,20th
78,1978,135,20th
79,1979,129,20th
80,1980,256,20th
81,1981,237,20th
82,1982,70,20th
83,1983,58,20th
84,1984,56,20th
85,1985,67,20th
86,1986,79,20th
87,1987,209,20th
88,1988,59,20th
89,1989,187,20th
90,1990,23,20th
91,1991,12,20th
92,1992,13,20th
93,1993,10,20th
94,1994,10,20th
95,1995,28,20th
96,1996,13,20th
97,1997,12,20th
98,1998,15,20th
99,1999,15,20th
