,year,whom,cent
0,1810,21,19th
1,1811,9,19th
2,1812,17,19th
3,1813,8,19th
4,1814,13,19th
5,1815,18,19th
6,1817,6,19th
7,1818,2,19th
8,1819,10,19th
9,1820,1,19th
10,1821,1,19th
11,1822,6,19th
12,1823,4,19th
13,1824,4,19th
14,1825,4,19th
15,1826,3,19th
16,1827,80,19th
17,1828,3,19th
18,1829,0,19th
19,1830,10,19th
20,1831,0,19th
21,1832,15,19th
22,1833,6,19th
23,1834,16,19th
24,1835,0,19th
25,1836,3,19th
26,1837,0,19th
27,1838,7,19th
28,1839,7,19th
29,1840,1,19th
30,1841,2,19th
31,1842,29,19th
32,1843,4,19th
33,1844,0,19th
34,1845,4,19th
35,1846,0,19th
36,1847,13,19th
37,1848,7,19th
38,1849,8,19th
39,1850,2,19th
40,1851,53,19th
41,1852,8,19th
42,1853,9,19th
43,1854,52,19th
44,1855,32,19th
45,1856,36,19th
46,1857,108,19th
47,1858,44,19th
48,1859,51,19th
49,1860,112,19th
50,1861,3,19th
51,1862,16,19th
52,1863,5,19th
53,1864,73,19th
54,1865,11,19th
55,1866,69,19th
56,1867,4,19th
57,1868,0,19th
58,1869,85,19th
59,1870,22,19th
60,1871,34,19th
61,1872,2,19th
62,1873,151,19th
63,1874,0,19th
64,1875,55,19th
65,1876,1,19th
66,1877,11,19th
67,1878,0,19th
68,1879,0,19th
69,1880,0,19th
70,1881,7,19th
71,1882,2,19th
72,1883,6,19th
73,1884,2,19th
74,1885,6,19th
75,1886,6,19th
76,1887,2,19th
77,1888,1,19th
78,1889,2,19th
79,1890,10,19th
80,1891,1,19th
81,1892,93,19th
82,1893,17,19th
83,1894,6,19th
84,1895,0,19th
85,1896,3,19th
86,1897,2,19th
87,1898,53,19th
88,1899,8,19th
