@@365435	##	fo
Breast	breast	nn1
cancer	cancer	nn1
grows	grow	vvz
so	so	rg
slowly	slowly	rr
in	in	ii
an	an	at1
older	old	jjr
woman	woman	nn1
,	,	y
say	say	vv0
doctors	doctor	nn2
,	,	y
that	that	cst
she	she	pphs1
can	can	vm
skip	skip	vvi
the	the	at
radiation	radiation	nn1
therapy	therapy	nn1
most	most	dat
women	woman	nn2
endure	endure	vv0
after	after	ii
surgery	surgery	nn1
.	.	y
In	in	ii
two	two	mc
studies	study	nn2
in	in	ii
the	the	at
New	new	np1
England	england	np1
Journal	journal	nn1
of	of	io
Medicine	medicine	nn1
,	,	y
researchers	researcher	nn2
followed	follow	vvd_vvn
breast-cancer	breast-cancer	jj_nn1
survivors	survivor	nn2
whose	whose	ddqge
small	small	jj
tumors	tumor	nn2
had	have	vhd
been	be	vbn
treated	treat	vvn
with	with	iw
lumpectomy	lumpectomy	nn1
and	and	cc
tamoxifen	tamoxifen	jj_nn1
 -- 	--	nn1_jj
with	with	iw
or	or	cc
without	without	iw
radiation	radiation	nn1
.	.	y
In	in	ii
nearly	nearly	rr
8%	8%	nnu
of	of	io
women	woman	nn2
ages	age	vvz@_nn2
50	50	mc
and	and	cc
older	old	jjr
,	,	y
cancer	cancer	nn1
came	come	vvd
back	back	rp
in	in	ii
the	the	at
same	same	da
breast	breast	nn1
without	without	iw
radiation	radiation	nn1
;	;	y
with	with	iw
treatment	treatment	nn1
,	,	y
the	the	at
relapse	relapse	nn1
rate	rate	nn1
was	be	vbdz
less	less	dar
than	than	csn
1%	1%	nnu
.	.	y
In	in	ii
women	woman	nn2
ages	age	vvz@_nn2
70	70	mc
and	and	cc
up	up	rp
,	,	y
only	only	rr
4%	4%	nnu
relapsed	relapse	vvn_vvd
without	without	iw
radiation	radiation	nn1
,	,	y
compared	compare	vvn
with	with	iw
1%	1%	nnu
who	who	pnqs
had	have	vhd
had	have	vhn
treatment	treatment	nn1
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Sora	sora	np1
Song	song	nn1
